Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102, C202, C205, C206, C207, C208, C209, C210, C211, C212, C302, C305, C306, C307, C308, C309, C310, C311, C312",0402,20,100n,C541405
"C201, C203, C204, C301, C303, C304",0402,6,2u2,C541409
"C214, C215, C314, C315",0402,4,1u,C106253
"D201, D301",0603,2,Active,C5875737
"D202, D302",SOD-323_L1.7-W1.3-LS2.6-RD-1,2,1N5817WS SJ,C2828424
"H101, H102, H103",MountingHole_2.7mm_M2.5_Pad_Via,3,MountingHole_Pad,
"J202, J302",USB-C-SMD_G-SWITCH_GT-USB-7010ASV,2,Computer,C2988369
"J203, J303",USB-C-SMD_G-SWITCH_GT-USB-7010ASV,2,Power,C2988369
"J204, J304",USB-C-SMD_G-SWITCH_GT-USB-7010ASV,2,Device,C2988369
"KEY201, KEY301",KEY-SMD_4P-L6.0-W6.0-P4.50,2,BOOTSEL,C86487
"Q201, Q301",SOT-23-3_L2.9-W1.3-P0.95-LS2.4-BR-1,2,USB Power Switch,C2940629
"R201, R301",0402,2,1K,C144789
"R202, R302",0402,2,470R,C227095
"R203, R204, R205, R206, R303, R304, R305, R306",0402,8,27R,C138021
"R207, R208, R210, R211, R307, R308, R310, R311",0402,8,5K1,C144745
"R209, R212, R213, R309, R312, R313",0402,6,22K,C144778
"TP201, TP202, TP203, TP204, TP205, TP301, TP302, TP303, TP304, TP305",TestPoint_Pad_1.0x1.0mm,10,TestPoint_Alt,
U101,SOIC-8_3.9x4.9mm_P1.27mm,1,Digital Isolator,C366164
"U201, U301",SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,2,16Mb NOR Flash,C82317
"U202, U302",SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,2,3V3 250ma LDO Regulator,C347376
"U203, U303",RP2040-QFN-56,2,Microcontroller,C2040
"X201, X301",OSC-SMD_4P-L3.2-W2.5-BL-1,2,12MHz CMOS Oscillator,C387348
