Designator,Mid X,Mid Y,Rotation,Layer
C101,64.77,-76.454,90.0,top
C102,69.7,-76.48,90.0,top
C201,58.3692,-74.676,180.0,top
C202,56.775,-91.205,270.0,top
C203,58.3692,-73.6092,180.0,top
C204,41.529,-64.4626,270.0,top
C205,54.5338,-85.0112,90.0,top
C206,52.9844,-73.1546,270.0,top
C207,48.4632,-77.3684,90.0,top
C208,48.4632,-79.8322,270.0,top
C209,53.4416,-85.0112,90.0,top
C210,58.4708,-80.3148,180.0,top
C211,58.4708,-76.708,180.0,top
C212,54.0766,-73.1494,270.0,top
C214,46.6318,-56.0578,180.0,top
C215,44.323,-60.0684,270.0,top
C301,94.8692,-74.676,180.0,top
C302,93.375,-91.23,270.0,top
C303,94.8692,-73.6092,180.0,top
C304,78.029,-64.4626,270.0,top
C305,91.0338,-85.0112,90.0,top
C306,89.4844,-73.1546,270.0,top
C307,84.9632,-77.3684,90.0,top
C308,84.9632,-79.8322,270.0,top
C309,89.9416,-85.0112,90.0,top
C310,94.9708,-80.3148,180.0,top
C311,94.9708,-76.708,180.0,top
C312,90.5766,-73.1494,270.0,top
C314,83.1318,-56.0578,180.0,top
C315,80.823,-60.0684,270.0,top
D201,60.7,-72.1,270.0,top
D202,42.288,-58.4708,180.0,top
D301,97.2,-72.1,270.0,top
D302,78.788,-58.4708,180.0,top
J202,55.5986,-46.342,180.0,top
J203,42.4454,-46.3049,180.0,top
J204,49.02,-110.63,0.0,top
J302,92.0986,-46.342,180.0,top
J303,78.9454,-46.3049,180.0,top
J304,85.52,-110.63,0.0,top
KEY201,40.8686,-82.3722,270.0,top
KEY301,77.3686,-82.3722,270.0,top
Q201,42.2402,-55.4322,90.0,top
Q301,78.7402,-55.4322,90.0,top
R201,43.1292,-74.1172,90.0,top
R202,60.7,-74.93,270.0,top
R203,55.1688,-73.1794,270.0,top
R204,56.261,-73.1794,270.0,top
R205,49.7,-85.0,90.0,top
R206,48.6,-85.0,90.0,top
R207,58.2656,-50.8254,0.0,top
R208,45.1338,-50.7746,0.0,top
R209,47.1404,-106.3244,180.0,top
R210,52.9062,-50.8254,180.0,top
R211,39.753,-50.7492,180.0,top
R212,50.8782,-106.3244,0.0,top
R213,41.15,-60.51,270.0,top
R301,79.6292,-74.1172,90.0,top
R302,97.2,-74.93,270.0,top
R303,91.6688,-73.1794,270.0,top
R304,92.761,-73.1794,270.0,top
R305,86.0,-84.99,90.0,top
R306,84.9,-84.986,90.0,top
R307,94.7656,-50.8254,0.0,top
R308,81.6338,-50.7746,0.0,top
R309,83.6404,-106.3244,180.0,top
R310,89.4062,-50.8254,180.0,top
R311,76.253,-50.7492,180.0,top
R312,87.3782,-106.3244,0.0,top
R313,77.65,-60.56,270.0,top
U101,67.2338,-80.1736,270.0,top
U201,45.0392,-67.5138,270.0,top
U202,45.9818,-58.4708,180.0,top
U203,53.1784,-79.3157,0.0,top
U301,81.5392,-67.5138,270.0,top
U302,82.4818,-58.4708,180.0,top
U303,89.6784,-79.3157,0.0,top
X201,54.521,-88.2474,90.0,top
X301,91.021,-88.2474,90.0,top
